Timestamp,Rainfall,Rainfall_imputed,Water_Level,Water_Level_imputed,Total_Suspended_Solids,Total_Suspended_Solids_imputed,Discharge,Discharge_imputed
1920-01-01,0.000,No,,,,,,
1920-01-02,0.000,No,,,,,,
1920-01-03,0.000,No,,,,,,
1920-01-04,0.000,No,,,,,,
1920-01-05,0.000,No,,,,,,
1920-01-06,0.000,No,,,,,,
1920-01-07,0.000,No,,,,,,
1920-01-08,0.000,No,,,,,,
1920-01-09,0.000,No,,,,,,
1920-01-10,0.000,No,,,,,,
1920-01-11,0.000,No,,,,,,
1920-01-12,0.000,No,,,,,,
1920-01-13,0.000,No,,,,,,
1920-01-14,0.000,No,,,,,,
1920-01-15,0.000,No,,,,,,
1920-01-16,0.000,No,,,,,,
1920-01-17,0.000,No,,,,,,
1920-01-18,0.000,No,,,,,,
1920-01-19,0.000,No,,,,,,
1920-01-20,0.000,No,,,,,,
1920-01-21,0.000,No,,,,,,
1920-01-22,0.000,No,,,,,,
1920-01-23,0.000,No,,,,,,
1920-01-24,0.000,No,,,,,,
1920-01-25,0.000,No,,,,,,
1920-01-26,0.000,No,,,,,,
1920-01-27,0.000,No,,,,,,
1920-01-28,0.700,No,,,,,,
1920-01-29,12.700,No,,,,,,
1920-01-30,0.000,No,,,,,,
1920-01-31,0.000,No,,,,,,
1920-02-01,0.000,No,,,,,,
1920-02-02,0.000,No,,,,,,
1920-02-03,0.000,No,,,,,,
1920-02-04,0.000,No,,,,,,
1920-02-05,0.000,No,,,,,,
1920-02-06,0.000,No,,,,,,
1920-02-07,0.000,No,,,,,,
1920-02-08,0.000,No,,,,,,
1920-02-09,0.000,No,,,,,,
1920-02-10,0.000,No,,,,,,
1920-02-11,0.000,No,,,,,,
1920-02-12,0.000,No,,,,,,
1920-02-13,0.000,No,,,,,,
1920-02-14,0.000,No,,,,,,
1920-02-15,0.000,No,,,,,,
1920-02-16,0.000,No,,,,,,
1920-02-17,0.000,No,,,,,,
1920-02-18,0.000,No,,,,,,
1920-02-19,0.000,No,,,,,,
1920-02-20,0.000,No,,,,,,
1920-02-21,7.000,No,,,,,,
1920-02-22,0.000,No,,,,,,
1920-02-23,0.000,No,,,,,,
1920-02-24,0.000,No,,,,,,
1920-02-25,0.000,No,,,,,,
1920-02-26,0.000,No,,,,,,
1920-02-27,0.000,No,,,,,,
1920-02-28,5.500,No,,,,,,
1920-02-29,0.000,No,,,,,,
1920-03-01,0.000,No,,,,,,
1920-03-02,0.800,No,,,,,,
1920-03-03,0.000,No,,,,,,
1920-03-04,0.000,No,,,,,,
1920-03-05,0.000,No,,,,,,
1920-03-06,0.000,No,,,,,,
1920-03-07,0.000,No,,,,,,
1920-03-08,19.200,No,,,,,,
1920-03-09,0.000,No,,,,,,
1920-03-10,0.000,No,,,,,,
1920-03-11,0.000,No,,,,,,
1920-03-12,0.000,No,,,,,,
1920-03-13,0.000,No,,,,,,
1920-03-14,0.000,No,,,,,,
1920-03-15,0.000,No,,,,,,
1920-03-16,0.000,No,,,,,,
1920-03-17,0.000,No,,,,,,
1920-03-18,0.000,No,,,,,,
1920-03-19,0.000,No,,,,,,
1920-03-20,0.000,No,,,,,,
1920-03-21,0.000,No,,,,,,
1920-03-22,0.000,No,,,,,,
1920-03-23,0.000,No,,,,,,
1920-03-24,0.000,No,,,,,,
1920-03-25,0.000,No,,,,,,
1920-03-26,0.000,No,,,,,,
1920-03-27,0.000,No,,,,,,
1920-03-28,0.000,No,,,,,,
1920-03-29,0.000,No,,,,,,
1920-03-30,0.400,No,,,,,,
1920-03-31,4.200,No,,,,,,
1920-04-01,0.400,No,,,,,,
1920-04-02,0.000,No,,,,,,
1920-04-03,0.000,No,,,,,,
1920-04-04,0.000,No,,,,,,
1920-04-05,7.700,No,,,,,,
1920-04-06,0.000,No,,,,,,
1920-04-07,0.000,No,,,,,,
1920-04-08,0.000,No,,,,,,
1920-04-09,0.000,No,,,,,,
1920-04-10,0.000,No,,,,,,
1920-04-11,0.000,No,,,,,,
1920-04-12,14.400,No,,,,,,
1920-04-13,12.800,No,,,,,,
1920-04-14,27.800,No,,,,,,
1920-04-15,0.000,No,,,,,,
1920-04-16,26.600,No,,,,,,
1920-04-17,0.000,No,,,,,,
1920-04-18,0.000,No,,,,,,
1920-04-19,0.000,No,,,,,,
1920-04-20,0.000,No,,,,,,
1920-04-21,0.000,No,,,,,,
1920-04-22,0.000,No,,,,,,
1920-04-23,3.400,No,,,,,,
1920-04-24,0.000,No,,,,,,
1920-04-25,0.000,No,,,,,,
